hk1,cal_flux
   1.000000E-01,   1.000000E-01
   1.000000E-01,   5.750000E-01
   1.000000E-01,   1.050000E+00
   1.000000E-01,   1.525000E+00
   1.000000E-01,   2.000000E+00
   1.325000E+00,   1.000000E-01
   1.325000E+00,   5.750000E-01
   1.325000E+00,   1.050000E+00
   1.325000E+00,   1.525000E+00
   1.325000E+00,   2.000000E+00
   2.550000E+00,   1.000000E-01
   2.550000E+00,   5.750000E-01
   2.550000E+00,   1.050000E+00
   2.550000E+00,   1.525000E+00
   2.550000E+00,   2.000000E+00
   3.775000E+00,   1.000000E-01
   3.775000E+00,   5.750000E-01
   3.775000E+00,   1.050000E+00
   3.775000E+00,   1.525000E+00
   3.775000E+00,   2.000000E+00
   5.000000E+00,   1.000000E-01
   5.000000E+00,   5.750000E-01
   5.000000E+00,   1.050000E+00
   5.000000E+00,   1.525000E+00
   5.000000E+00,   2.000000E+00
